id	id_prop	alignment	comment	depth	thread_id	last_comment_in_thread	upvote	downvote	Topic	lan	time	label
comment_886	238	In favor	Bigger financial resources for Frontex and military action in Syria to stop the conflict and stop immigration.	0.0		False	3	1	Migration	en	2021-04-21T15:10:21+02:00	In favor
comment_39734	238	In favor	"Bon , se n'est pas tout dè vouloir proteger nos frontieres ... Certain parlementaire europeen souhaiterai que FONTEX soit une équipe d'accueil àu frontiere , histoire de diriger tous ses gents dàns dès filières d'intégration et d'immigration régulière ...

 Dàns les 10 àns ávenir , 1 à 2 milions d'africains devraient venir frapper à notre porte ( sur natalité de se continent ) . Avons nous les moyen de le acceuillir , la volonté de les intégrés ... Voila lá bonne question... 

Pour revenir au garde frontiere FONTEX , îls faut définir exactement se que l'on se attends d'eux , donner les moyen humain , judiciere dè faire leur travail corectement ... 

Les ONG vont chercher les migrants et les conduise en limites des eaux territorial européenne , îls favorisent la migrâtion clandestine . Îls participent activement au trafique d'être humain... Bien sûr , îls ne faut pas le dire..."	0.0		False	2	1	Migration	fr	2021-06-21T13:34:16+02:00	In favor
comment_87319	238	Against	Bevor die Frontex gestärkt wird, müssen zuerst die Menschenrechtsverletzungen der Frontex gestoppt werden.	0.0		False	1	1	Migration	de	2021-09-09T10:35:42+02:00	Against
comment_148899	238	In favor	Frontex must be given powers and resources to shut down the migratory routes entirely. Mass migartion is a crime against humanity, and must stop!	0.0	comment_148899	True	2	0	Migration	en	2021-11-16T12:33:47+01:00	In favor
comment_242	224	In favor	Genaus so ist es !!	0.0	comment_242	True	8	2	Migration	de	2021-04-19T22:10:34+02:00	In favor
comment_779	224	In favor	Grundsätzlich dafür, allerdings würd ich bei kleinen Straftaten ein Punktesystem erschaffen und sobald man (bspw.) 4 Ladendiebstähle begangen hat, wird man ausgewiesen. Es soll dann auch auf den Wert ankommen, wenn man ein Brötchen klaut, ist es weniger schlimm, als zum Beispiel eine teure Uhr.	0.0		False	5	1	Migration	de	2021-04-21T12:58:09+02:00	In favor
comment_920	224	Against	Alle Menschen haben das gleiche Recht hier zu sein. Niemand ist unberechtigt. Bewerber/Migranten sind nicht auszuweisen, schon gar nicht umgehend, sondern in die Beschäftigungsprobleme und Wirtschaftssituation einzubeziehen.	0.0		False	3	10	Migration	de	2021-04-21T15:54:30+02:00	Against
comment_1109	224	In favor	find ich gut	0.0		False	2	0	Migration	de	2021-04-22T08:48:47+02:00	In favor
comment_1153	224	In favor	"Flüchtlinge sind hier um Schutz zu suchen eine schnelle Rückführung wenn dieser nicht mehr notwendig ist, ist selbstverständlich.
Bei Straftaten sind Leute einfach nicht mehr schutzwürdig und auszuweisen, weil sie uns mit ihrem Taten zeigen, dass sie unsere Regeln weder akzeptieren noch respektieren."	0.0		False	5	0	Migration	de	2021-04-22T10:22:11+02:00	In favor
comment_1390	224	Against	"Todo el mundo tiene derecho a equivocarse alguna vez. Todo el mundo (inmigrantes y Europeos) deberíamos tener un buen comportamiento, pero creo que depende mucho del nivel de inclusión de estas personas.

Si conseguimos ser un continente acogedor, la gente que venga nos lo agradecerá formando parte de la sociedad."	0.0		False	2	4	Migration	es	2021-04-23T09:02:07+02:00	Against
