Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
a gagné	affection	conforme	a l’aise	achat		à l'intention de	différents	traditionnelle	acceptation
accomplir	affection	adapté	acclamer	achats	abris	acte	à couper le souffle	ecritures	accepter
achèvement	aide	approprié	accomplissement	acquérir	alarme	actes	adrénaline	admiration	accord
achèvement des travaux	autorisation	agréable	agence	alerte		agitation	allah	adresse	
affaires	allié		amusement	agressif	armure	actions	amusant	âme	assortiment
amélioration	ami	autorisé	appétit	application de la loi	assurance	activiste	excitant	ancêtres	avidité
	amical	autorités compétentes	applaudir	appliqué	attention	activité	audace	ange	beau
améliorations	amicaux		apprécié	arête	attention	activités	audacieux	ascendance	beau
	amis	certitude	attraction	argent	prudence	affrontement	aventure	athée	beauté
appréciation	amitié	chargé de l’instruction	blague	attaque	averti	agi	aventures	bénédiction	bienvenue
appréciation de la situation	appartenance	châtiment	blaguer	autorité	avertissement	agissant	bousculer	béni	charitable
approuver	appartenant	code	bonheur	avantage	barrière	analyse	changements	bénir	climat
approbation	appui à l '	combinaison	c’est drôle	bats toi	battre en retraite	apprendre	charmer	bénissez	coalition
aptitude	association	commandes	célébrations	bénéfices	bien rangé	appris	choc	bible	collaboration
artisanat		comme il se doit	charme	biens immobiliers	bouclier	aptitude	choqués	bienheureux	communauté
atteindre	authentique	commettre	compensation	bonus	calcul	artistique	conduire	c’est allah	
atteint	avoir besoin	concession	confort	bord	calme	artistiques	contesté	c’est céleste	communautés
avancé	besoin	assurance	confortable	calibre	calmez-vous	astucieux	contradiction	catholique	complexe
avancement	bienveillance	fiable	content	capital	camouflage	attentionné	courage	céleste	compréhension
avantage	bonne volonté	conformité	courtiser	capitale	catastrophique	fonce	courageux	cérémonie	comprendre
capable d'agir	bonté	consensus	délicieux	cher	catastrophiques	avis	curiosité	cérémonies	compromis
capacité	cadeau	consentement	des loisirs	colonne vertébrale	causer du tort	brillance	découvert	chapelle	connexion
célébrer	camaraderie	conservateur	désagréable	commander	conséquences	célèbre	découverte	christ	coopération
cerveaux	chagrin	conservation	détendez-vous	commerce	conservation	choisir	découvertes	christianisme	coopérative
champion	chaleur	conservé	détente	commerce extérieur	crise	choix	découvrir	clan	coordination
championne	collectif	conservés	distraction	compétiteur	danger	colonne vertébrale	défi	commandements	coordonné
compétence	contenance	divertissant	concours	dangereux	condamnation	congrégation	cruellement		
compétences	communautaire	contraignant	divertissants	conquérir	défendre	confiance en soi	défis	conscience	culture
	compagnons	convention	divertissement	conquête	défendant	connaissance	corrompus	cupidité	
compétitif	compatissant	divertissements	contrôle	défense	connaissances	des risques	couvée	politesse	
compétition	compter	conventionnel	drôle		défensive	différent	croyants	démocrates	
compétitivité	confiance	conventionnelles	coûteux	dégâts	contemplation	difficile	culte	démocratie	
concurrence	relations	conventions	enchantement	agence	des menaces	contestation	entrainant	damné	démocratique
croissance	conventions	envie	debout	difficulté	controverse	dramatiques	bénédictions	discrimination	
défaite	conseil	courant dominant	érotique	demande	dommages	controversé	drame		
développement	conseils	courtoisie	espiègle	demandes	effrayé	controversés	dynamique	descendants	diverse
dignité	contribution	crédibilité	euphorie	devant	effrayer	conviction	dynamiques	diable	diversité
distinctions honorifiques	s'engager	extase	diriger	en sécurité		effort	dieu		
efficace	coopérant	décence	facilité	dominance	endommager	créatif	empressement	divinité	égalité
efficacité	copains	décision	fascination	dominant	ennemis	création	énergie	église	promesse
	cousin	démission	fête	domination		créations	énergétique	églises	environnement
élégance	cousine		fétiche	dominer	garantie	crée	énergies	éthique	équilibrage
emploi	de l’aide	discipline	fétichisme	économie	garde	créer	énergique	fidèle	équilibre
emplois	délicatesse	doit	goût	égoïste	garde à vue	critique	ennui	foi	équité
entraînement	digne de confiance	droit	heureux	élévation		cueillir	ennuyé	folklore	esthétique
aptitude	doucement	engagé	hilarant	élite		curieuse	enthousiasme	frères et sœurs	
expérience	empathie	engagement	humour	espèces	gardien	curieux	enthousiasme	générations	explication
	encouragé	engagements	indemnisation	inoffensif	gestion	enthousiaste	habitude		
expertise	encourageant	entité	indulgence	état d'avancement	intimité	découverte	essayer	habitué	généreux
fier	encourageants	établissement	jeux	excédent		défi	étonnamment	historique	glouton
formation	encouragement	étiquette	joie	exigences	défense	défiance	surprenant	honorant	grâce
gagnée	encouragements	évité	jouer	faible	stabilité	demande d'indemnisation	excitant	innocence	gracieux
gagner	encourager	évitée	jouissance	faiblement	violence	principes	excitation	institution	habilité
haut	épouse	éviter	joyeux	faiblesse	danger	détermination	exercice	islam	humanité
	famille	évitez	appétit	faiblesses	maladie	déterminé		injuste	
honneurs	familles	conditions	envie de vivre	fantaisie	menaçant	développer	explorateur	jésus	injustes
industrie	soutien	familier	humour	force	menace	dévouement	exploration	droiture	injustice
	fiable	flexibilité	comédie	forcer	menacé	différend	explorer	âme	interprétation
défaite	fiable		convoitise	fort	menacer	diriger	extraordinaire	bible	accepte
perfection	fidélité	fonctions	joie	réussir	menaces	direction	extrême	cérémonie	juste
lâcher	fraternité	hésiter	jouissance	avoir de l’argent	menacés	distinctif	fascinant	foi	équitable
plus grand	générosité	hiérarchie	satisfaction	gérer	mise en garde	éclaircissement	fascinante	grâce	justice
