Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
αναγνωρίζει	αγάπη	ακατάλληλος	αίσθηση	αγορά	αβλαβής	άγνοια	∆ιαταραχές	άγγελος	αδικαιολόγητα
αναγνωρισµένο	αγάπη	ακεραιότητα	αισθησιακός	αγορές	ακίνδυνο	άγνοια	αßεßαιότητα	αγία γραφή	αδικία
ανάπτυξη	αδελφότητα	αναλήψεις υποχρεώσεων	αισιοδοξία	αδυναμία	άμυνα	αιτιολογία	αβέβαιη	αγία γραφή	άδικος
άνοδος	αδελφότητα	ανάρμοστο	αναζωογόνηση	αδυναμίες	άμυνες	ακτιβιστής	αβέβαιος	άγιος	αισθητικό
ανταγωνίζομαι	αισθάνομαι	αξιοπιστία	αναπαύεται	αδύναμος	αμυντική πολιτική	αμέλεια	αβεβαιότητα	αγιότητα	αλληλεγγύη
ανταγωνιστικός	ανάγκη	απαγορευμένος	αναψυκτικό	ακμή	αμυντικός	άμεσα	άγνωστος	αδερφός	αναγνωρίζει
ανταμοιβές	ανατροφή	απαιτείται	αναψυχή	ακριβές	απειλείται	αμφιλεγόμενος	αδρεναλίνη	αθεϊστής	αναγνωρίζοντας
ανταμοιβή	ανήκοντας	απαίτηση	άνετα	ακριβός	απειλείται	αμφισβήτηση	αίγλη	άθεος	αναγνώριση
αξία	ανησυχία	απαιτούμενο	άνετος	ανύψωση	απειλές	ανακάλυψη	αίγλη	αθωότητα	ανεκτικός
αξιοπρέπεια	ανησυχώ	από κοινού	αξιοθέατο	ανώτερος	απειλή	ανακάλυψις	ακανόνιστος	αλλάχ	ανεκτικότητα
απασχόληση	αξιόπιστα	αποθεματικά	αποζημίωση	ανωτερότητα	απειλητικές	ανάλυση	ακραία	αλλάχ	ανέχομαι
αποδίδω	αξιόπιστος	αποθεματικό	απολαμβάνω	απαιτήσεις	απειλητική	αναπτύσσω	άκρο	αμαρτία	ανέχομαι
απόδοση	αξιόπιστος	απόφαση	απόλαυσα	αποκτώ	αποθηκεύσετε	ανεξαρτησία	αλλαγές	απόγονοι	ανθρωπότητα
